iter	RMSE
0	9.19192475
1	8.86005104
2	8.549987666
3	8.260349332
4	7.967003031
5	7.704359909
6	7.440980417
7	7.191836257
8	6.955357433
9	6.727433365
10	6.505845408
11	6.307964253
12	6.130409286
13	5.934253745
14	5.770382514
15	5.601685504
16	5.443859738
17	5.307334074
18	5.156549258
19	5.020310966
20	4.876315912
21	4.745928533
22	4.630981654
23	4.513150574
24	4.39512292
25	4.294444195
26	4.186007826
27	4.097919175
28	4.003052297
29	3.921848603
30	3.848344249
31	3.775542463
32	3.700674883
33	3.634573719
34	3.562886503
35	3.499163466
36	3.440832761
37	3.384420838
38	3.326867075
39	3.27595377
40	3.22904163
41	3.186252582
42	3.143861088
43	3.096255483
44	3.057842028
45	3.021455435
46	2.985407637
47	2.950143961
48	2.917679226
49	2.885447684
50	2.859039095
51	2.830016614
52	2.804856149
53	2.779538257
54	2.758613259
55	2.735906079
56	2.708289726
57	2.689431347
58	2.671152443
59	2.648893251
60	2.631567872
61	2.611617791
62	2.594756598
63	2.579095249
64	2.563252527
65	2.549142865
66	2.535269981
67	2.519646174
68	2.505164637
69	2.489288186
70	2.477555849
71	2.464655416
72	2.453341632
73	2.440947346
74	2.430342803
75	2.420177882
76	2.41275665
77	2.402853129
78	2.39091626
79	2.382431551
80	2.372730765
81	2.360201156
82	2.351055201
83	2.342911509
84	2.335505426
85	2.323354023
86	2.313021797
87	2.304066423
88	2.296762741
89	2.287507752
90	2.280311064
91	2.271353522
92	2.265206234
93	2.258837815
94	2.253573518
95	2.245644309
96	2.240633537
97	2.234867789
98	2.229187466
99	2.222510489
100	2.217656107
101	2.210891658
102	2.205017704
103	2.199001018
104	2.191014659
105	2.187531254
106	2.184331752
107	2.173978966
108	2.170836969
109	2.166327326
110	2.160705217
111	2.15577425
112	2.150403939
113	2.145541308
114	2.141807389
115	2.138966824
116	2.135788435
117	2.132350788
118	2.125468975
119	2.122738312
120	2.119451534
121	2.115495342
122	2.111837458
123	2.108409269
124	2.102442748
125	2.098938501
126	2.096136653
127	2.091280273
128	2.087628663
129	2.084697078
130	2.077762705
131	2.071671853
132	2.068537711
133	2.063378043
134	2.058883265
135	2.055327064
136	2.050594661
137	2.047140529
138	2.043249685
139	2.037604233
140	2.034711888
141	2.031878931
142	2.028891424
143	2.025350311
144	2.021498352
145	2.018872055
146	2.013816401
147	2.007907738
148	2.002849998
149	1.996528556
150	1.993774729
151	1.990156523
152	1.986256729
153	1.981838497
154	1.976494912
155	1.97075783
156	1.968907025
157	1.964296647
158	1.957945789
159	1.953859533
160	1.951282799
161	1.949001718
162	1.944981771
163	1.942421451
164	1.939872789
165	1.937431328
166	1.935025498
167	1.931534283
168	1.927048293
169	1.924873472
170	1.920636875
171	1.91830993
172	1.915202851
173	1.911648304
174	1.908912053
175	1.906218797
176	1.903614346
177	1.900728053
178	1.896337972
179	1.893981499
180	1.892124481
181	1.887868435
182	1.885263042
183	1.881450499
184	1.878059733
185	1.874686804
186	1.869513969
187	1.866509271
188	1.864813217
189	1.862141377
190	1.860082023
191	1.857797218
