iter	Passed	Remaining
0	2250	2248064
1	2281	1138368
2	2301	764957
3	2322	578217
4	2346	466967
5	2376	393740
6	2398	340214
7	2419	299964
8	2442	268990
9	2495	247084
10	2544	228809
11	2611	215034
12	2662	202123
13	2682	188938
14	2703	177527
15	2717	167135
16	2731	157954
17	2742	149626
18	2753	142154
19	2765	135521
20	2782	129726
21	2795	124289
22	2809	119334
23	2819	114675
24	2832	110475
25	2845	106584
26	2865	103255
27	2879	99947
28	2891	96831
29	2902	93849
30	2914	91095
31	2927	88551
32	2940	86163
33	2956	83987
34	2967	81825
35	2988	80033
36	3009	78331
37	3041	76998
38	3059	75389
39	3077	73865
40	3095	72399
41	3112	70989
42	3124	69541
43	3137	68169
44	3151	66881
45	3170	65754
46	3185	64586
47	3201	63500
48	3216	62427
49	3229	61365
50	3243	60355
51	3254	59324
52	3266	58365
53	3279	57449
54	3293	56592
55	3304	55697
56	3316	54871
57	3329	54067
58	3341	53300
59	3352	52528
60	3363	51782
61	3376	51080
62	3388	50396
63	3399	49713
64	3411	49075
65	3423	48449
66	3435	47839
67	3446	47232
68	3459	46684
69	3475	46171
70	3490	45671
71	3505	45182
72	3520	44703
73	3535	44247
74	3552	43810
75	3566	43364
76	3581	42935
77	3597	42526
78	3609	42080
79	3620	41640
80	3633	41220
81	3646	40821
82	3657	40406
83	3669	40012
84	3683	39651
85	3696	39284
86	3706	38901
87	3718	38540
88	3731	38198
89	3744	37860
90	3754	37502
91	3769	37198
92	3783	36900
93	3795	36583
94	3808	36280
95	3819	35962
96	3831	35668
97	3843	35378
98	3857	35110
99	3873	34858
100	3895	34672
101	3914	34461
102	3938	34295
103	3952	34050
104	3970	33844
105	3981	33577
106	3992	33319
107	4003	33069
108	4017	32840
109	4035	32648
110	4054	32475
111	4073	32296
112	4103	32211
113	4127	32080
114	4143	31889
115	4159	31701
116	4171	31482
117	4187	31299
118	4201	31102
119	4212	30893
120	4222	30674
121	4233	30469
122	4250	30309
123	4270	30166
124	4288	30017
125	4303	29854
126	4323	29720
127	4336	29541
128	4348	29359
129	4358	29171
130	4369	28985
131	4379	28800
132	4398	28671
133	4410	28506
134	4421	28329
135	4432	28158
136	4442	27986
137	4459	27856
138	4475	27719
139	4487	27567
140	4499	27412
141	4511	27258
142	4538	27196
143	4560	27112
144	4581	27015
145	4595	26878
146	4609	26747
147	4624	26619
148	4636	26481
149	4652	26361
150	4664	26227
151	4678	26103
152	4703	26037
153	4726	25964
154	4737	25827
155	4751	25706
156	4763	25576
157	4776	25453
158	4787	25321
159	4797	25187
160	4808	25058
161	4818	24927
162	4829	24798
163	4839	24671
164	4851	24550
165	4861	24426
166	4874	24315
167	4888	24211
168	4905	24119
169	4917	24006
170	4929	23895
171	4939	23778
172	4949	23661
173	4961	23551
174	4971	23437
175	4981	23321
176	4991	23210
177	5002	23100
178	5013	22993
179	5023	22884
180	5033	22776
181	5044	22673
182	5057	22577
183	5070	22485
184	5080	22383
185	5093	22291
186	5109	22212
187	5120	22118
188	5131	22021
189	5142	21921
190	5153	21829
191	5164	21733
192	5174	21637
193	5185	21543
194	5195	21449
195	5208	21364
196	5220	21279
197	5234	21200
198	5248	21125
199	5260	21041
200	5284	21006
201	5303	20953
202	5324	20903
203	5338	20831
204	5351	20753
205	5362	20668
206	5372	20582
207	5382	20494
208	5392	20408
209	5403	20327
210	5415	20249
211	5426	20171
212	5437	20091
213	5448	20012
214	5458	19931
215	5468	19850
216	5480	19774
217	5493	19706
218	5506	19636
219	5521	19577
220	5533	19506
221	5543	19428
222	5555	19357
223	5566	19283
224	5576	19209
225	5586	19133
226	5597	19062
227	5608	18991
228	5619	18918
229	5630	18848
230	5640	18777
231	5652	18710
232	5662	18639
233	5675	18579
234	5686	18512
235	5699	18452
236	5715	18400
237	5727	18337
238	5739	18275
239	5754	18222
240	5765	18158
241	5775	18091
242	5786	18026
243	5796	17960
244	5807	17896
245	5817	17832
246	5828	17767
247	5839	17707
248	5860	17675
249	5884	17652
250	5906	17626
251	5941	17636
252	5977	17647
253	6001	17626
254	6012	17566
255	6028	17519
256	6040	17464
257	6053	17409
258	6063	17346
259	6073	17287
260	6088	17237
261	6100	17184
262	6120	17151
263	6132	17097
264	6143	17038
265	6153	16980
266	6164	16922
267	6175	16866
268	6185	16809
269	6198	16758
270	6209	16702
271	6219	16645
272	6229	16589
273	6239	16533
274	6250	16478
275	6260	16422
276	6270	16366
277	6283	16319
278	6295	16268
279	6307	16219
280	6322	16177
281	6344	16153
282	6786	17193
283	6798	17140
284	6811	17088
285	6824	17037
286	6841	16997
287	6853	16944
288	6866	16893
289	6879	16843
290	6895	16799
291	6907	16748
292	6928	16718
293	6938	16661
294	6949	16607
295	6959	16552
296	6972	16503
297	6983	16451
298	6995	16399
299	7007	16350
300	7020	16304
301	7031	16251
302	7041	16197
303	7052	16145
304	7063	16095
305	7073	16041
306	7083	15990
307	7097	15947
308	7109	15899
309	7128	15865
310	7141	15821
311	7157	15782
312	7174	15747
313	7193	15715
314	7207	15673
315	7220	15628
316	7233	15584
317	7245	15538
318	7255	15489
319	7265	15439
320	7276	15391
321	7286	15342
322	7296	15293
323	7308	15248
324	7318	15200
325	7329	15152
326	7339	15104
327	7352	15062
328	7362	15014
329	7374	14971
